id_persona|fecha_relevamiento|fecha_actualizacion|tecnologia_pc_casa|tecnologia_pc_trabajo|tecnologia_pc_universidad|tecnologia_pc_otro_lugar|tecnologia_int_casa|tecnologia_int_trabajo|tecnologia_int_universidad|tecnologia_int_movil|tecnologia_int_otro_lugar|deportes|deportes_universidad|deportes_gimnasio|deportes_particular|deportes_otro_lugar|deportes_basquet|deportes_futbol|deportes_gimnasia|deportes_handball|deportes_natacion|deportes_tenis|deportes_voley|deportes_otros|nivel_idioma_ingles|nivel_idioma_aleman|nivel_idioma_frances|nivel_idioma_italiano|nivel_idioma_portugues|nivel_idioma_chino|idioma_otro|nivel_idioma_otro
78746|2023-02-13|2023-02-13|S|N|N|N|S|N|N|S|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Bueno|Desconoce|Desconoce|Desconoce|Basico|Desconoce||
47490|2017-04-21|2017-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
55930|2022-02-24|2022-02-24|S|N|N|N|S|N|N|N|N|S|N|S|S|N|N|N|N|N|S|N|N|S|Basico|Desconoce||Desconoce|Desconoce|||
33560|2014-03-18|2014-04-03|S|N|S|N|N|N|S|N|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Basico|Desconoce|Basico|Desconoce|Desconoce|||
52198|2017-04-21|2017-04-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
53925|2022-03-02|2024-02-19|S|N|N|N|S|N|N|N|N|S|N|N|S|N|N|S|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
23123|2021-03-16|2021-03-17|S|N|S|S|S|N|S|N|S|S|N|S|N|N|N|N|S|N|N|N|N|N|Muy bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
105160|2024-04-19|2024-04-19|S|N|N|N|S|S|N|S|S|S|N|N|S|S|N|N|N|N|N|N|N|S|Muy bueno|||||||
90195|2023-09-05|2023-09-05|S|N|N|N|S|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce||
54467|2018-05-02|2018-05-02|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|||||||
