nombre|carrera|plan|materia|nombre_materia|anio_de_cursada|periodo_dictado|obligatoria
Profesorado de Matemática|201|2004b|0044|Análisis Matemático III|3|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0047|Didáctica de la Matemática II|3|2do Cuatrimestre|S
Profesorado de Matemática|201|2004b|0135|Informática Educativa II|3|2do Cuatrimestre|S
Profesorado de Matemática|201|2004b|0147|Algebra III|3|2do Cuatrimestre|S
Profesorado de Matemática|201|2004b|0050|Práctica Docente I|4|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0130|Ecuaciones Diferenciales I|4|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0137|Problemas en Educación Matemática|4|1er Cuatrimestre|S
Profesorado de Matemática|201|2004b|0052|Historía y Epistemología de las Ciencias II|4|2do Cuatrimestre|S
Profesorado de Matemática|201|2004b|0053|Práctica Docente II|4|2do Cuatrimestre|S
Profesorado de Matemática|201|2004b|0146|Topología I|4|2do Cuatrimestre|S
Profesorado de Física|203|1999|0058|Física I|1|1er Cuatrimestre|S
Profesorado de Física|203|1999|0077|Cálculo Infinitesimal I|1|1er Cuatrimestre|S
Profesorado de Física|203|1999|0078|Química I|1|1er Cuatrimestre|S
Profesorado de Física|203|1999|0079|Introducción a la Problemática Ambiental y a la Ecología|1|1er Cuatrimestre|S
Profesorado de Física|203|1999|0006|Geometría y Algebra Lineal|1|2do Cuatrimestre|S
Profesorado de Física|203|1999|0059|Física II|1|2do Cuatrimestre|S
Profesorado de Física|203|1999|0060|Física Experimental I|1|2do Cuatrimestre|S
Profesorado de Física|203|1999|0080|Química Orgánica y Biológica|1|2do Cuatrimestre|S
Profesorado de Física|203|1999|0017|Inglés|2|1er Cuatrimestre|S
Profesorado de Física|203|1999|0034|Introducción a la Enseñanza de las Ciencias|2|1er Cuatrimestre|S
Profesorado de Física|203|1999|0061|Física III|2|1er Cuatrimestre|S
Profesorado de Física|203|1999|0081|Cálculo Infinitesimal II|2|1er Cuatrimestre|S
Profesorado de Física|203|1999|0039|Psicología y Aprendizaje|2|2do Cuatrimestre|S
Profesorado de Física|203|1999|0045|Cálculo Numérico|2|2do Cuatrimestre|S
Profesorado de Física|203|1999|0063|Física IV|2|2do Cuatrimestre|S
Profesorado de Física|203|1999|0083|Introducción a las Ciencias Biológicas|2|2do Cuatrimestre|S
Profesorado de Física|203|1999|0042|Historía y Epistemología de las Ciencias I|3|1er Cuatrimestre|S
Profesorado de Física|203|1999|0065|Estructura de la Materia|3|1er Cuatrimestre|S
Profesorado de Física|203|1999|0068|Termofísica|3|1er Cuatrimestre|S
Profesorado de Física|203|1999|0084|Didáctica de las Ciencias Naturales|3|1er Cuatrimestre|S
Profesorado de Física|203|1999|0050|Práctica Docente I|3|2do Cuatrimestre|S
Profesorado de Física|203|1999|0082|Fundamentos de Ecología|3|2do Cuatrimestre|S
Profesorado de Física|203|1999|0085|Estadística y Análisis de Datos|3|2do Cuatrimestre|S
Profesorado de Física|203|1999|0062|Física Experimental II|4|1er Cuatrimestre|S
Profesorado de Física|203|1999|0066|Mecánica|4|1er Cuatrimestre|S
Profesorado de Física|203|1999|0067|Variable Compleja|4|1er Cuatrimestre|S
Profesorado de Física|203|1999|0086|Didáctica de la Física|4|1er Cuatrimestre|S
Profesorado de Física|203|1999|0053|Práctica Docente II|4|2do Cuatrimestre|S
Profesorado de Física|203|1999|0087|Seminario de Enseñanza de la Física|4|2do Cuatrimestre|S
Profesorado de Física|203|1999|0088|Tópicos de Física Contemporánea|4|2do Cuatrimestre|S
Profesorado de Física|203|2006|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Profesorado de Física|203|2006|0058|Física I|1|1er Cuatrimestre|S
Profesorado de Física|203|2006|0079|Introducción a la Problemática Ambiental y a la Ecología|1|1er Cuatrimestre|S
Profesorado de Física|203|2006|0151|Química General e Inorgánica|1|1er Cuatrimestre|S
Profesorado de Física|203|2006|0040|Inglés I|1|2do Cuatrimestre|S
Profesorado de Física|203|2006|0059|Física II|1|2do Cuatrimestre|S
Profesorado de Física|203|2006|0080|Química Orgánica y Biológica|1|2do Cuatrimestre|S
Profesorado de Física|203|2006|0125|Algebra Lineal|1|2do Cuatrimestre|S
Profesorado de Física|203|2006|0150|Trabajos de Laboratorio I|1|2do Cuatrimestre|S
Profesorado de Física|203|2006|0011|Análisis Matemático II|2|1er Cuatrimestre|S
Profesorado de Física|203|2006|0034|Introducción a la Enseñanza de las Ciencias|2|1er Cuatrimestre|S
Profesorado de Física|203|2006|0041|Inglés II|2|1er Cuatrimestre|S
Profesorado de Física|203|2006|0061|Física III|2|1er Cuatrimestre|S
Profesorado de Física|203|2006|0134|Informática Educativa I|2|1er Cuatrimestre|S
Profesorado de Física|203|2006|0039|Psicología y Aprendizaje|2|2do Cuatrimestre|S
Profesorado de Física|203|2006|0063|Física IV|2|2do Cuatrimestre|S
Profesorado de Física|203|2006|0083|Introducción a las Ciencias Biológicas|2|2do Cuatrimestre|S
Profesorado de Física|203|2006|0042|Historía y Epistemología de las Ciencias I|3|1er Cuatrimestre|S
Profesorado de Física|203|2006|0065|Estructura de la Materia|3|1er Cuatrimestre|S
Profesorado de Física|203|2006|0084|Didáctica de las Ciencias Naturales|3|1er Cuatrimestre|S
Profesorado de Física|203|2006|0085|Estadística y Análisis de Datos|3|1er Cuatrimestre|S
Profesorado de Física|203|2006|0045|Cálculo Numérico|3|2do Cuatrimestre|S
Profesorado de Física|203|2006|0050|Práctica Docente I|3|2do Cuatrimestre|S
Profesorado de Física|203|2006|0068|Termofísica|3|2do Cuatrimestre|S
Profesorado de Física|203|2006|0135|Informática Educativa II|3|2do Cuatrimestre|S
Profesorado de Física|203|2006|0066|Mecánica|4|1er Cuatrimestre|S
Profesorado de Física|203|2006|0067|Variable Compleja|4|1er Cuatrimestre|S
Profesorado de Física|203|2006|0086|Didáctica de la Física|4|1er Cuatrimestre|S
Profesorado de Física|203|2006|0053|Práctica Docente II|4|2do Cuatrimestre|S
