id_persona|institucion|institucion_otra|cargo|materia|trabajo_hora_sem|fecha_desde|fecha_hasta
53451|Departamento de Física||Ayudante Alumno|Docencia|Hasta 10 horas|2017-04-03|2023-04-03
53775|FACULTAD DE CIENCIAS EXACTAS - UNICEN - TANDIL||Ayudante Alumno|Dedicación simple|Hasta 10 horas|2022-04-01|2022-12-02
53984|Universidad Nacional del Centro de la Provincia de Buenos Aires||Ayudante De Catedra|Docencia|Hasta 10 horas|2022-04-01|
54171|UNICEN - Facultad de Ciencias Exactas||Ayudante Alumno Categoría Simple|Ayudante de cátedra|Más de 10 y hasta 20 horas|2020-03-01|2024-02-19
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Alumno|Programación II - TUDAI|Hasta 10 horas|2021-08-09|2021-11-30
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Alumno|Programación II - TUDAI|Hasta 10 horas|2022-08-08|2022-11-30
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Ingreso Pregrado (TUDAI y TUARI)|Hasta 10 horas|2023-01-01|
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Introducción a las Metodologías de Desarrollo de Software (TUDAI)|Hasta 10 horas|2023-03-01|2023-07-30
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Introducción a las Metoologías de Desarrollo de Software - TUDAI|Hasta 10 horas|2024-04-11|
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Programación III - TUDAI|Hasta 10 horas|2023-03-06|2023-07-28
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Programación III - TUDAI|Hasta 10 horas|2024-03-20|
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Programación II - TUDAI|Más de 10 y hasta 20 horas|2023-08-07|2023-12-15
54874|Fac. Cs. Exactas, UNCPBA||Ayudante Interino Graduado|Programación I - TUDAI|Hasta 10 horas|2023-03-06|2023-07-28
55053|ISFD Nº 3||Profesor|Profesor Módulos|Hasta 10 horas|2017-03-27|
55180|Unicen-Facultad de Ciencias Exactas||Ayudante Alumno|WEB 2|Hasta 10 horas|2023-08-18|2024-11-20
55576|Departamento de Sistemas||Ayudante Interino Simple|Introducción a la programación 1|Hasta 10 horas|2022-08-16|2022-11-30
55928|Universidad Nacional del Centro de la Provincia de Buenos Aires||Auxiliar Alumno|Auxiliar Alumno|Hasta 10 horas|2023-04-03|2023-07-28
56252|UNICEN - Facultad de Ciencias Exactas||Ayudante Alumno|Ayudantia en el ingreso a la carrera TUDAI|Hasta 10 horas|2023-01-01|2023-12-31
57478|FACULTAD DE CIENCIAS EXACTAS - UNICEN - TANDIL||Profesora Titular|Docente|Hasta 10 horas|1985-04-01|
67914|Facultad de Agronomía||Profesor Adjunto|docencia|Más de 10 y hasta 20 horas|1998-04-01|
78673|Facultad de Ingeniería UNICEN||Ayudante Alumno|Fisica I|Hasta 10 horas|2018-07-04|2020-03-30
103846||INSTITUTO NUESTRA SEÑORA DEL CALVARIO|Docente|DOCENTE DE MATEMATICA|Más de 10 y hasta 20 horas|2022-10-18|
103846||INSTITUTO TECNICO LA FALDA|Docente|DOCENTE DE MATEMATICA|Hasta 10 horas|2023-03-28|
104268||Educacion Profesional Secundaria Maipú|Profesora Mtm|Profesora||2023-04-10|2024-03-01
104390|INSTITUTO SUPERIOR DE FORMACIÓN TÉCNICA Nº 190||Profesor|Profesor|Hasta 10 horas|2023-08-01|2024-03-01
104434|ESCUELA NORMAL SUPERIOR REPÚBLICA DEL PERÚ||Coordinador De Curso|INTERVENCIONES|Más de 20 y hasta 35 horas|2023-10-15|2023-12-29
104443||"EESOPI 8009 ""San Juan Bautista de La Salle"""|Docente|Docente frente a curso|Hasta 10 horas|2024-02-28|
104443||"EESOPI 8043 ""Ing. Pedro J. Cristiá"""|Docente|Reemplazante de larga duración - Docente en cursillo de nivelación e ingreso para nuevos aspirantes|Más de 10 y hasta 20 horas|2023-07-24|2024-11-29
104545|Instituto Superior de Formación Docente Nº 169||Profesor|Profesor|Hasta 10 horas|2021-03-01|2024-03-01
104958|Carreras de Formación Docente||Docente|Docente|Más de 10 y hasta 20 horas|2018-03-01|
104994|"INSTITUTO AGROTECNOLOGICO TANDIL ""Dr RAMON SANTAMARINA"""||Docente|docente|Hasta 10 horas|2021-06-23|2022-03-31
